Type,Objective,Assets,Fees,Expense_ratio,Return_2001,Three_Year_Return,Five_Year_Return,Turnover,Risk,Best_Quarter,Worst_Quarter
large cap ,Growth,7129.9,Yes,1.26,-18.2,-0.4,11.1,average,average,24.1,-22.1
large cap ,Growth,1438.9,No,0.88,-20.4,-1.1,10.1,low,average,25.8,-20.6
mid cap,Growth,775.9,No,0.99,-21.0,7.0,10.0,high,high,37.4,-20.3
large cap ,Growth,4134.7,Yes,1.03,-34.1,-10.9,3.5,high,high,28,-27.7
mid cap,Value,4189.6,Yes,0.94,-3.1,4.5,5.4,very low,average,15.5,-22.3
large cap ,Growth,696.1,Yes,0.80,-24.7,-3.9,7.2,high,high,30.2,-24
large cap ,Value,662.1,Yes,1.32,-2.3,6.4,11.1,high,low,15.7,-16.6
small cap ,Growth,802.1,No,1.25,-17.8,13.6,13.4,average,high,41.9,-27.9
large cap ,Growth,2106.0,Yes,1.99,-5.0,22.8,26.3,very low,average,37.6,-22.4
large cap ,Growth,740.4,No,0.77,-27.4,-5.0,9.2,very high,high,39.7,-29
large cap ,Growth,979.3,No,0.85,-19.2,2.7,12.9,average,high,31.2,-25.8
small cap ,Growth,5234.7,No,0.88,-2.8,8.1,8.1,low,high,30.2,-25.2
mid cap,Value,3046.7,No,0.81,6.1,12.3,12.3,average,very low,12.6,-17.5
large cap ,Growth,2253.7,Yes,0.87,-16.2,-5.8,5.8,high,average,20.5,-16.5
mid cap,Growth,1164.0,Yes,1.26,-19.9,15.5,15.7,average,high,39.9,-33
large cap ,Value,1132.0,Yes,0.95,-4.4,2.0,7.5,high,low,16.4,-13.9
mid cap,Growth,4043.4,Yes,0.89,-33.6,-0.8,7.5,average,high,42.1,-32.2
mid cap,Growth,3227.1,No,0.88,-39.9,-2.5,6.5,low,very high,57.9,-32.7
large cap ,Value,1127.6,No,0.83,2.3,8.2,17.1,very low,low,18.3,-10.1
small cap ,Growth,653.3,No,1.57,5.3,29.3,18.9,average,high,49.7,-29
large cap ,Value,1159.2,Yes,0.94,-6.8,-0.7,6.6,average,low,17,-12.6
large cap ,Growth,614.0,No,1.96,-12.9,-0.9,11.5,average,high,25,-18.4
large cap ,Value,1573.0,No,0.94,0.8,3.3,11.7,low,low,16.5,-11.8
mid cap,Growth,676.8,Yes,0.85,-11.4,3.0,5.1,low,high,32.2,-23
large cap ,Value,1949.3,No,0.84,-1.8,1.5,4.8,high,average,23.1,-26.2
mid cap,Growth,649.7,Yes,1.04,-24.1,6.5,10.3,high,high,43.9,-23.9
large cap ,Value,1130.4,Yes,1.03,-10.0,0.8,8.4,average,low,16.5,-11.7
small cap ,Growth,2828.4,Yes,0.89,-18.2,17.1,17.6,average,high,53.7,-28.3
large cap ,Value,8836.3,Yes,0.59,6.7,2.8,11.0,low,very low,12.4,-7.6
mid cap,Value,1210.5,No,1.15,17.1,24.1,18.6,very high,average,29.5,-27.7
mid cap,Growth,1240.9,Yes,0.95,-12.7,3.2,11.3,average,high,31.4,-19.4
small cap ,Growth,1245.3,No,1.29,-20.9,8.0,11.4,average,high,46.7,-28.7
large cap ,Value,22105.0,No,0.37,-3.4,2.1,10.4,low,low,14.9,-13.6
mid cap,Value,975.0,Yes,1.11,5.6,11.8,9.4,average,low,13.9,-21.4
large cap ,Value,914.9,No,1.36,-0.1,5.3,12.2,very low,low,15.7,-14.6
large cap ,Growth,1373.2,Yes,1.02,-23.0,-5.4,2.5,average,high,29.1,-22.2
small cap ,Growth,683.6,No,1.05,22.2,6.3,13.4,low,high,34.5,-25.4
large cap ,Value,602.5,Yes,1.56,-7.9,1.3,7.6,average,low,13.5,-13.6
mid cap,Value,656.3,No,0.78,6.5,13.0,15.2,very low,low,19,-13.2
large cap ,Growth,9232.2,No,1.77,-13.6,-2.1,8.8,average,average,27.1,-16
large cap ,Growth,612.0,Yes,1.02,-11.8,-5.1,7.0,low,average,20.9,-15
large cap ,Growth,1280.8,Yes,0.81,-18.6,-1.8,11.5,average,high,30.1,-20
large cap ,Growth,995.5,No,1.00,-32.3,-2.0,9.0,average,high,42.7,-26.5
large cap ,Growth,5788.9,No,2.13,-24.5,-8.3,8.5,high,high,30.8,-20
large cap ,Value,608.7,Yes,1.11,3.3,8.0,9.6,average,low,16.4,-13.9
large cap ,Value,10240.5,Yes,0.89,-11.4,4.6,11.9,low,average,21.4,-14.4
small cap ,Growth,769.7,Yes,1.19,-39.7,6.1,12.9,very high,very high,56.8,-29.1
large cap ,Value,1250.1,No,0.85,-5.4,1.4,9.5,very low,low,15.7,-10.4
large cap ,Value,1019.4,No,1.59,-3.0,5.7,10.7,very low,low,16.5,-14.1
small cap ,Value,989.5,No,1.11,12.1,15.6,14.2,low,low,20.1,-16.4
large cap ,Value,14388.3,No,0.94,-3.7,5.5,15.4,high,low,19.5,-12.7
mid cap,Value,954.8,No,0.63,15.1,9.9,6.6,low,average,17.5,-27.2
large cap ,Growth,12249.4,No,0.51,-11.2,-0.6,11.2,high,average,23.8,-18.3
small cap ,Value,852.1,No,1.49,25.1,26.2,19.7,average,average,27.7,-21.5
small cap ,Growth,841.7,No,2.06,29.3,25.0,17.8,average,average,28.1,-26
small cap ,Value,11402.4,Yes,1.00,26.7,16.5,15.1,average,very low,16.5,-16.8
large cap ,Value,2390.7,No,0.77,-2.2,3.4,8.5,average,low,12.9,-10.8
large cap ,Growth,964.0,No,1.16,-49.1,-18.7,-0.7,high,very high,34.5,-43.2
large cap ,Growth,1286.4,No,0.97,-21.6,0.2,14.7,very low,high,31.6,-22.8
large cap ,Value,4166.0,No,0.93,10.3,10.8,14.8,low,low,18.5,-18.4
mid cap,Growth,1250.0,No,1.00,-25.6,9.7,9.5,average,average,40.4,-21.2
large cap ,Value,1830.8,No,0.67,-4.2,2.7,8.4,low,low,10.7,-8.3
large cap ,Growth,3671.3,No,0.96,-39.1,-1.8,10.5,very low,high,37.5,-33.3
large cap ,Value,4058.0,No,1.00,10.5,3.5,16.5,low,low,21.5,-14.4
large cap ,Growth,994.8,No,0.52,-12.4,4.6,5.0,very high,high,24.9,-27
large cap ,Value,1871.3,Yes,0.91,-9.5,3.0,9.0,very low,low,14,-15.4
small cap ,Value,1623.4,Yes,1.06,17.7,11.8,11.8,very low,low,17.6,-13.6
small cap ,Growth,2639.2,Yes,1.04,-26.0,3.4,5.4,low,high,31.4,-24.7
large cap ,Value,5456.9,No,0.92,-11.2,5.3,13.3,low,low,22.2,-14.8
large cap ,Growth,840.4,No,0.93,-16.3,-0.8,11.5,low,average,22.9,-16.1
mid cap,Growth,1014.3,Yes,1.10,-32.9,-1.8,5.5,average,very high,55,-28.8
small cap ,Growth,825.3,Yes,1.25,-11.6,5.1,4.6,average,high,59.4,-23.6
large cap ,Value,1108.4,No,0.80,-0.6,7.6,12.4,high,low,17.2,-17.5
mid cap,Growth,2461.1,No,1.29,-27.3,15.5,18.5,high,very high,75.2,-31.3
large cap ,Value,1863.9,Yes,1.32,0.1,16.7,16.7,average,low,21.1,-17.3
large cap ,Growth,12871.4,Yes,1.00,-15.5,0.4,10.1,low,average,24.3,-15.7
large cap ,Value,21636.2,No,0.67,-5.0,3.4,10.1,low,low,16.2,-12.9
large cap ,Growth,4988.9,No,1.00,-18.2,-3.0,10.4,average,average,22.4,-14.6
large cap ,Value,54008.1,Yes,0.56,-4.6,4.9,13.0,low,low,17.3,-10.2
large cap ,Growth,598.5,No,0.95,-23.9,-2.7,8.8,average,high,25.4,-20.1
